bill_id,,title,summary,congress_num,sponsor_party,sponsor_state,cosponsors_total,cosponsors_dem,cosponsors_rep,cosponsors_ind,month_introduced,subject,committees,url,senate_probabilities,senate_predictions
S. ,797,"A bill to establish and implement a multi-year Legal Gold and Mining Partnership Strategy to reduce the negative environmental and social impacts of illicit gold mining in the Western Hemisphere, and for other purposes.",,118,R,FL,1,1,0,0,3,,Senate - Foreign Relations,https://www.congress.gov/bill/118th-congress/senate-bill/797,0.24%,0
S. ,796,"A bill to exempt discharges of fire retardant by Federal land management agencies, State governments, political subdivisions of States, and Tribal governments from the permitting requirements of the National Pollutant Discharge Elimination System, and for other purposes.",,118,R,WY,4,0,4,0,3,,Senate - Environment and Public Works,https://www.congress.gov/bill/118th-congress/senate-bill/796,0.24%,0
S. ,795,"A bill to amend the Federal Crop Insurance Act to improve education and risk management assistance, and for other purposes.",,118,D,CT,2,0,1,1,3,,"Senate - Agriculture, Nutrition, and Forestry",https://www.congress.gov/bill/118th-congress/senate-bill/795,0.24%,0
S. ,794,A bill to require a pilot program on the participation of non-asset-based third-party logistics providers in the Customs-Trade Partnership Against Terrorism.,,118,R,TX,2,1,1,0,3,,Senate - Homeland Security and Governmental Affairs,https://www.congress.gov/bill/118th-congress/senate-bill/794,0.24%,0
S. ,793,A bill to amend title XVIII of the Social Security Act to add physical therapists to the list of providers allowed to utilize locum tenens arrangements under Medicare.,,118,D,NM,6,2,4,0,3,,Senate - Finance,https://www.congress.gov/bill/118th-congress/senate-bill/793,0.24%,0
S. ,792,"A bill to amend the Personal Responsibility and Work Opportunity Act of 1996 to provide certain Federal public benefits to citizens of the Federated States of Micronesia, the Republic of the Marshall Islands, and the Republic of Palau who are lawfully residing in the United States if they are otherwise qualified, consistent with section 141 of the Compacts of Free Association.",,118,D,HI,2,1,1,0,3,,Senate - Finance,https://www.congress.gov/bill/118th-congress/senate-bill/792,0.24%,0
S. ,791,A bill to increase access to agency guidance documents.,,118,R,WI,15,1,14,0,3,,Senate - Homeland Security and Governmental Affairs,https://www.congress.gov/bill/118th-congress/senate-bill/791,0.24%,0
S. ,790,"A bill to align executive compensation with sustainable value creation, and for other purposes.",,118,D,VA,2,2,0,0,3,,"Senate - Banking, Housing, and Urban Affairs",https://www.congress.gov/bill/118th-congress/senate-bill/790,0.40%,0
S. ,789,A bill to require the Secretary of the Treasury to mint a coin in recognition of the 100th anniversary of the United States Foreign Service and its contribution to United States diplomacy.,,118,D,MD,1,0,1,0,3,,"Senate - Banking, Housing, and Urban Affairs",https://www.congress.gov/bill/118th-congress/senate-bill/789,0.27%,0
S. ,788,"A bill to amend the Permanent Electronic Duck Stamp Act of 2013 to allow States to issue fully electronic stamps under that Act, and for other purposes.",,118,R,AR,3,1,1,1,3,,Senate - Environment and Public Works,https://www.congress.gov/bill/118th-congress/senate-bill/788,0.24%,0
